ORCA_URN	AnalyzedText	Analysis	textDeformation
urn:cite2:hmt:signoccurr.v1:2	urn:cts:greekLit:tlg0012.tlg001.msA:1.2	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:3	urn:cts:greekLit:tlg0012.tlg001.msA:1.3	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:4	urn:cts:greekLit:tlg0012.tlg001.msA:1.5	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:5	urn:cts:greekLit:tlg0012.tlg001.msA:1.7	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:6	urn:cts:greekLit:tlg0012.tlg001.msA:1.12	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:7	urn:cts:greekLit:tlg0012.tlg001.msA:1.13	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:8	urn:cts:greekLit:tlg0012.tlg001.msA:1.14	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:9	urn:cts:greekLit:tlg0012.tlg001.msA:1.15	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:10	urn:cts:greekLit:tlg0012.tlg001.msA:1.16	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:11	urn:cts:greekLit:tlg0012.tlg001.msA:1.17	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:12	urn:cts:greekLit:tlg0012.tlg001.msA:1.26	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:13	urn:cts:greekLit:tlg0012.tlg001.msA:1.29	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:14	urn:cts:greekLit:tlg0012.tlg001.msA:1.30	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:15	urn:cts:greekLit:tlg0012.tlg001.msA:1.31	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:16	urn:cts:greekLit:tlg0012.tlg001.msA:1.42	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:17	urn:cts:greekLit:tlg0012.tlg001.msA:1.51	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:18	urn:cts:greekLit:tlg0012.tlg001.msA:1.52	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:19	urn:cts:greekLit:tlg0012.tlg001.msA:1.56	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:20	urn:cts:greekLit:tlg0012.tlg001.msA:1.58	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:21	urn:cts:greekLit:tlg0012.tlg001.msA:1.59	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:22	urn:cts:greekLit:tlg0012.tlg001.msA:1.60	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:23	urn:cts:greekLit:tlg0012.tlg001.msA:1.62	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:24	urn:cts:greekLit:tlg0012.tlg001.msA:1.65	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:25	urn:cts:greekLit:tlg0012.tlg001.msA:1.68	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:26	urn:cts:greekLit:tlg0012.tlg001.msA:1.69	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:27	urn:cts:greekLit:tlg0012.tlg001.msA:1.73	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:28	urn:cts:greekLit:tlg0012.tlg001.msA:1.80	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:29	urn:cts:greekLit:tlg0012.tlg001.msA:1.93	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:30	urn:cts:greekLit:tlg0012.tlg001.msA:1.96	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:31	urn:cts:greekLit:tlg0012.tlg001.msA:1.100	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:32	urn:cts:greekLit:tlg0012.tlg001.msA:1.103	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:33	urn:cts:greekLit:tlg0012.tlg001.msA:1.104	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:34	urn:cts:greekLit:tlg0012.tlg001.msA:1.110	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:35	urn:cts:greekLit:tlg0012.tlg001.msA:1.133	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:36	urn:cts:greekLit:tlg0012.tlg001.msA:1.139	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:37	urn:cts:greekLit:tlg0012.tlg001.msA:1.148	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:38	urn:cts:greekLit:tlg0012.tlg001.msA:1.175	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:39	urn:cts:greekLit:tlg0012.tlg001.msA:1.177	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:40	urn:cts:greekLit:tlg0012.tlg001.msA:1.184	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:41	urn:cts:greekLit:tlg0012.tlg001.msA:1.189	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:42	urn:cts:greekLit:tlg0012.tlg001.msA:1.192	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:43	urn:cts:greekLit:tlg0012.tlg001.msA:1.194	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:44	urn:cts:greekLit:tlg0012.tlg001.msA:1.195	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:45	urn:cts:greekLit:tlg0012.tlg001.msA:1.196	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:46	urn:cts:greekLit:tlg0012.tlg001.msA:1.196	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:47	urn:cts:greekLit:tlg0012.tlg001.msA:1.198	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:48	urn:cts:greekLit:tlg0012.tlg001.msA:1.200	urn:cite2:hmt:critsign:diple	TBA
