urn:cts:greekLit:tlg0012.tlg002.omar:1.1	ἄνδρα μοι ἔννεπε, μοῦσα, πολύτροπον, ὃς μάλα πολλὰ
urn:cts:greekLit:tlg0012.tlg002.omar:1.2	πλάγχθη, ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν:
urn:cts:greekLit:tlg0012.tlg002.omar:1.3	πολλῶν δ' ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω,
urn:cts:greekLit:tlg0012.tlg002.omar:1.4	πολλὰ δ' ὅ γ' ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν,
urn:cts:greekLit:tlg0012.tlg002.omar:1.5	ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων.
urn:cts:greekLit:tlg0012.tlg002.omar:1.6	ἀλλ' οὐδ' ὣς ἑτάρους ἐρρύσατο, ἱέμενός περ:
urn:cts:greekLit:tlg0012.tlg002.omar:1.7	αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο,
urn:cts:greekLit:tlg0012.tlg002.omar:1.8	νήπιοι, οἳ κατὰ βοῦς ̔Υπερίονος ̓Ηελίοιο
urn:cts:greekLit:tlg0012.tlg002.omar:1.9	ἤσθιον: αὐτὰρ ὁ τοῖσιν ἀφείλετο νόστιμον ἦμαρ.
urn:cts:greekLit:tlg0012.tlg002.omar:1.10	τῶν ἁμόθεν γε,  θεά, θύγατερ Διός, εἰπὲ καὶ ἡμῖν.
urn:cts:greekLit:tlg0012.tlg002.omar:1.11	ἔνθ' ἄλλοι μὲν πάντες, ὅσοι φύγον αἰπὺν ὄλεθρον,
urn:cts:greekLit:tlg0012.tlg002.omar:1.12	οἴκοι ἔσαν, πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν:
urn:cts:greekLit:tlg0012.tlg002.omar:1.13	τὸν δ' οἶον νόστου κεχρημένον ἠδὲ γυναικὸς
urn:cts:greekLit:tlg0012.tlg002.omar:1.14	νύμφη πότνι' ἔρυκε Καλυψὼ δῖα θεάων
urn:cts:greekLit:tlg0012.tlg002.omar:1.15	ἐν σπέσσι γλαφυροῖσι,  λιλαιομένη πόσιν εἶναι.
urn:cts:greekLit:tlg0012.tlg002.omar:1.16	ἀλλ' ὅτε δὴ ἔτος ἦλθε περιπλομένων ἐνιαυτῶν,
urn:cts:greekLit:tlg0012.tlg002.omar:1.17	τῷ οἱ ἐπεκλώσαντο θεοὶ οἶκόνδε νέεσθαι
urn:cts:greekLit:tlg0012.tlg002.omar:1.18	εἰς ̓Ιθάκην, οὐδ' ἔνθα πεφυγμένος ἦεν ἀέθλων
urn:cts:greekLit:tlg0012.tlg002.omar:1.19	καὶ μετὰ οἷσι φίλοισι. θεοὶ δ' ἐλέαιρον ἅπαντες
urn:cts:greekLit:tlg0012.tlg002.omar:1.20	νόσφι Ποσειδάωνος: ὁ δ' ἀσπερχὲς μενέαινεν
urn:cts:greekLit:tlg0012.tlg002.omar:1.21	ἀντιθέῳ ̓Οδυσῆι πάρος ἣν γαῖαν ἱκέσθαι.
urn:cts:greekLit:tlg0012.tlg002.omar:1.22	ἀλλ' ὁ μὲν Αἰθίοπας μετεκίαθε τηλόθ' ἐόντας,
