urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="1"> Alongside the ships the other best <note>aristos</note> men of the Panachaeans</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.2	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="2"> slept all night long, subdued by gentle sleep,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.3	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="3"> but not the son of Atreus, Agamemnon, the shepherd of the warriors—</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.4	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="4"> sweet sleep did not hold him, as he pondered many things in his mind <note>phrên</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.5	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="5"> As when the husband of Hera with her beautiful hair hurls lightning, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.6	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="6"> creating an indescribable amount of rain or hail</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.7	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="7"> or falling snow, when snow sprinkles the fields,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.8	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="8"> or the great jaws of crowded battle,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.9	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="9"> so did the groans in the breast of Agamemnon come thick and fast <note>pukinos</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.10	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="10"> from the bottom of his heart, and his insides <note>phrên</note> were trembling. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.11	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="11"> Whenever he gazed out at the Trojan plain,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.12	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="12"> he was amazed at the many fires that burned before Ilium,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.13	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="13"> and at the shout of flutes and of pipes and the clamor of men.</l>
